Date,km,,
2016-01,91.562,,
2016-02,74.5,,
2016-03,56.512,,
2016-04,42.38,,
2016-05,71.722,,
2016-06,20.063,,
2016-07,51.711,,
2016-08,68.516,,
2016-09,88.512,,
2016-10,79.385,,
2016-11,76.631,,
2016-12,71.563,,
2017-01,48.33,,
2017-02,63.372,,
2017-03,76.355,,
2017-04,66.331,,
2017-05,75.435,,
2017-06,67.878,,
2017-07,206.896,,
2017-08,78.414,,
2017-09,167.397,,
2017-10,87.894,,
2017-11,109.453,,
2017-12,90.157,,
2018-01,78.356,,
2018-02,101.95,,
2018-03,89.559,,
2018-04,118.374,,
2018-05,76.182,,
2018-06,76.056,,
2018-07,58.052,,
2018-08,68.793,,
2018-09,60.929,,
2018-10,78.418,,
2018-11,71.083,,
2018-12,64.659,,
2019-01,50.391,,
2019-02,51.624,,
2019-03,70.191,,
2019-04,72.563,,
2019-05,79.482,,
2019-06,68.996,,
2019-07,89.025,,
2019-08,76.002,,
2019-09,127.599,,
2019-10,63.396,,
2019-11,70.264,,
2019-12,61.702,,
2020-01,52.656,,
2020-02,74.537,,
2020-03,39.465,,
2020-04,19.702,,
2020-05,47.393,,
2020-06,67.765,,
2020-07,82.422,,
2020-08,75.744,,
2020-09,56.517,,
2020-10,27.594,,
2020-11,40.112,,
2020-12,48.486,,
2021-01,21.946,,
2021-02,36.986,,
2021-03,29.87,,
2021-04,33.907,,
,206.896,,
,19.702,,
,72.26642188,,
